ProjectName,Link,pre_wpi_with_s,pre_wpi_without_s,post_wpi_with_s,post_wpi_without_s
floatingActionButtonSpeedDial,https://github.com/AuthorsGitAccount/FloatingActionButtonSpeedDial,556b84fc516b1b0764aa7e2c20a652ff03207ee9,556b84fc516b1b0764aa7e2c20a652ff03207ee9,c762d31a32015229c67f2e9a69b2f3bdea54de60,c762d31a32015229c67f2e9a69b2f3bdea54de60
caffeine_nullaway,https://github.com/AuthorsGitAccount/caffeine,ace16b76481b879d3629e23d45b4177f2e9629b4,ace16b76481b879d3629e23d45b4177f2e9629b4,6cefa5d8942f9d02146c77965a70ed766f8e8dc0,6cefa5d8942f9d02146c77965a70ed766f8e8dc0
caffeine_CFNullness,https://github.com/AuthorsGitAccount/caffeine,b8e6867709520142be87f72504920b20a63674ee,b8e6867709520142be87f72504920b20a63674ee,2e6d32844e033399e63e42c88e0ea8b587879af3,2e6d32844e033399e63e42c88e0ea8b587879af3
mealPlanner,https://github.com/AuthorsGitAccount/meal-planner,534de2074178ed4cfd34a23cad1212f76016ad9e,534de2074178ed4cfd34a23cad1212f76016ad9e,fa953d7d669eab706afb675628eb1be68caa7ca1,fa953d7d669eab706afb675628eb1be68caa7ca1
picasso,https://github.com/AuthorsGitAccount/picasso/,589b0d617f9ba0b0e3e1834483810f9d19a874b4,589b0d617f9ba0b0e3e1834483810f9d19a874b4,466781f8feca2418e5d36eb45aa0cc0a7d8e1b62,466781f8feca2418e5d36eb45aa0cc0a7d8e1b62
cache2k-nullaway,https://github.com/AuthorsGitAccount/cache2k/,495a6491028d8eaa0ed9371ca974290d99c4686e,495a6491028d8eaa0ed9371ca974290d99c4686e,2c99f5090095554809c46aa6650fd9a4f413d464,2c99f5090095554809c46aa6650fd9a4f413d464
cache2k-CFNullness,https://github.com/AuthorsGitAccount/cache2k/,13c9b14a033d5f7aa2a33d498df223350d7a9e55,13c9b14a033d5f7aa2a33d498df223350d7a9e55,226d0c917d4e3bef68035782e0abc091e7e971d7,226d0c917d4e3bef68035782e0abc091e7e971d7
butterknife,https://github.com/AuthorsGitAccount/butterknife/,be4792d8a8c76aebd0f90858a1ea426ed31fd36c,be4792d8a8c76aebd0f90858a1ea426ed31fd36c,c17c16c89c69bf280146888bbca5131f06857703,c17c16c89c69bf280146888bbca5131f06857703
nameless,https://github.com/AuthorsGitAccount/Nameless-Java-API/,1c239f9f248e6619ce5783a1c0ebd021a7a7526e,1c239f9f248e6619ce5783a1c0ebd021a7a7526e,0f5266d193a1b20419d49eb3fab0960d326f311c,0f5266d193a1b20419d49eb3fab0960d326f311c
table-wrapper-api,https://github.com/AuthorsGitAccount/table-wrapper-api/,b213629fbea6168bb9b7fb6f1cf397311ae1abaa,b213629fbea6168bb9b7fb6f1cf397311ae1abaa,73a0fd50f9bf8a9e2218ba5231b97170b91dd273,73a0fd50f9bf8a9e2218ba5231b97170b91dd273
table-wrapper-csv-impl,https://github.com/AuthorsGitAccount/table-wrapper-csv-impl/,b5878d3448c7e39424b2e22600e1fc7474246c5b,b5878d3448c7e39424b2e22600e1fc7474246c5b,713dbe59189e6939c835591c844d6a884e8c9ba39,713dbe59189e6939c835591c844d6a884e8c9ba39
table-wrapper-api,https://github.com/AuthorsGitAccount/table-wrapper-api/,b5878d3448c7e39424b2e22600e1fc7474246c5b,b5878d3448c7e39424b2e22600e1fc7474246c5b,713dbe59189e6939c835591c844d6a884e8c9ba40,713dbe59189e6939c835591c844d6a884e8c9ba40
jib,https://github.com/AuthorsGitAccount/jib,4005c45ff437973d0481244034f806c7b71164ec,4005c45ff437973d0481244034f806c7b71164ec,23306a36bb8f0585427e2399eb3ee6fba109a019,23306a36bb8f0585427e2399eb3ee6fba109a019
jib,https://github.com/AuthorsGitAccount/jib,4005c45ff437973d0481244034f806c7b71164ec,4005c45ff437973d0481244034f806c7b71164ec,23306a36bb8f0585427e2399eb3ee6fba109a019,23306a36bb8f0585427e2399eb3ee6fba109a019